requirement_id,design_contract_id,completeness
REQ-001,DC-006,full
REQ-002,DC-001,full
REQ-003,DC-001,full
REQ-004,DC-001,full
REQ-005,DC-001,full
REQ-006,DC-001,full
REQ-007,DC-001,full
REQ-008,DC-001,partial
REQ-008,DC-004,partial
REQ-009,DC-005,full
REQ-010,DC-002,partial
REQ-010,DC-003,partial
REQ-011,DC-002,partial
REQ-011,DC-003,partial
REQ-012,DC-002,partial
REQ-012,DC-003,partial
REQ-013,DC-002,partial
REQ-013,DC-003,partial
REQ-014,DC-002,partial
REQ-014,DC-003,partial
REQ-015,DC-002,full
REQ-016,DC-002,full
REQ-017,DC-002,full
REQ-018,DC-002,full
REQ-019,DC-002,full
REQ-020,DC-002,partial
REQ-020,DC-013,partial
REQ-021,DC-003,full
REQ-022,DC-003,full
REQ-023,DC-003,full
REQ-024,DC-013,full
REQ-025,DC-013,full
REQ-026,DC-013,full
REQ-027,DC-013,full
REQ-028,DC-013,partial
REQ-028,DC-002,partial
REQ-029,DC-013,full
REQ-030,DC-005,full
REQ-031,DC-005,full
REQ-032,DC-005,full
REQ-033,DC-011,full
REQ-034,DC-005,full
REQ-035,DC-005,full
REQ-036,DC-005,partial
REQ-036,DC-011,partial
REQ-037,DC-011,full
REQ-038,DC-014,full
REQ-039,DC-014,full
REQ-040,DC-014,full
REQ-041,DC-006,full
REQ-042,DC-006,full
REQ-043,DC-006,full
REQ-044,DC-006,full
REQ-045,DC-006,full
REQ-046,DC-006,full
REQ-047,DC-006,full
REQ-048,DC-006,full
REQ-049,DC-006,full
REQ-050,DC-006,full
REQ-051,DC-008,full
REQ-052,DC-008,full
REQ-053,DC-008,full
REQ-054,DC-008,full
REQ-055,DC-008,full
REQ-056,DC-008,full
REQ-057,DC-008,full
REQ-058,DC-009,full
REQ-059,DC-009,full
REQ-060,DC-010,full
REQ-061,DC-010,full
REQ-062,DC-010,full
REQ-063,DC-010,full
REQ-064,DC-010,full
REQ-065,DC-010,full
REQ-066,DC-010,full
REQ-067,DC-010,full
REQ-068,DC-007,full
REQ-069,DC-007,full
REQ-070,DC-007,partial
REQ-070,DC-004,partial
REQ-071,DC-007,partial
REQ-071,DC-004,partial
REQ-072,DC-007,full
REQ-073,DC-007,full
REQ-074,DC-011,full
REQ-075,DC-011,full
REQ-076,DC-011,full
REQ-077,DC-012,full
REQ-078,DC-012,partial
REQ-078,DC-001,partial
REQ-079,DC-012,partial
REQ-079,DC-001,partial
REQ-080,DC-012,partial
REQ-080,DC-001,partial
REQ-081,DC-004,full
REQ-082,DC-004,partial
REQ-082,DC-008,partial
REQ-083,DC-004,partial
REQ-083,DC-007,partial
REQ-084,DC-004,full
REQ-085,DC-004,full
REQ-086,DC-002,full
REQ-087,DC-002,full
REQ-088,DC-013,full
REQ-089,DC-013,full
REQ-090,DC-013,full
REQ-091,DC-006,full
REQ-092,DC-001,full
REQ-093,DC-001,full
REQ-094,DC-001,full
REQ-095,DC-001,partial
REQ-095,DC-012,partial
REQ-096,DC-001,partial
REQ-096,DC-012,partial
REQ-097,DC-001,full
REQ-098,DC-015,full
REQ-099,DC-014,full
REQ-100,DC-011,full
REQ-101,DC-006,full
REQ-102,DC-014,full
REQ-103,DC-017,full
REQ-104,DC-017,full
REQ-105,DC-017,full
REQ-106,DC-017,full
REQ-107,DC-017,full
REQ-108,DC-018,full
REQ-109,DC-018,full
REQ-110,DC-019,full
REQ-111,DC-019,full
REQ-112,DC-019,full
REQ-113,DC-019,full
REQ-114,DC-019,full
REQ-115,DC-019,full
REQ-116,DC-019,full
REQ-117,DC-020,full
REQ-118,DC-020,full
REQ-119,DC-020,full
REQ-120,DC-020,full
REQ-121,DC-021,full
REQ-122,DC-021,full
REQ-123,DC-021,full
REQ-124,DC-021,full
REQ-125,DC-022,full
REQ-126,DC-022,full
REQ-127,DC-023,full
REQ-128,DC-020,full
REQ-129,DC-020,full
REQ-130,DC-020,full
REQ-131,DC-020,full
REQ-132,DC-024,full
REQ-133,DC-024,full
REQ-134,DC-024,full
REQ-135,DC-024,full
REQ-136,DC-019,partial
REQ-136,DC-021,partial
REQ-137,DC-019,full
REQ-138,DC-018,full
REQ-139,DC-019,full
REQ-140,DC-021,full
REQ-141,DC-019,full
REQ-142,DC-019,full
REQ-143,DC-019,full
REQ-144,DC-019,full
REQ-145,DC-020,full
REQ-146,DC-025,full
REQ-147,DC-025,full
